mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53393595,13,13113,2019,03,1,2,55279
53393595,13,13113,2019,03,2,0,74906
53393595,13,13113,2019,03,2,1,23819
53393595,13,13113,2019,03,2,2,52344
53393596,13,13113,2019,03,0,0,81931
53393596,13,13113,2019,03,0,1,20354
53393596,13,13113,2019,03,0,2,48990
53393596,13,13113,2019,03,1,0,132238
53393596,13,13113,2019,03,1,1,22688
53393596,13,13113,2019,03,1,2,80011
53393596,13,13113,2019,03,2,0,114387
53393596,13,13113,2019,03,2,1,21860
53393596,13,13113,2019,03,2,2,69003
53394505,13,13113,2019,03,0,0,18860
53394505,13,13113,2019,03,0,1,8553
53394505,13,13113,2019,03,0,2,12658
53394505,13,13113,2019,03,1,0,13947
53394505,13,13113,2019,03,1,1,8400
53394505,13,13113,2019,03,1,2,11892
53394505,13,13113,2019,03,2,0,15690
53394505,13,13113,2019,03,2,1,8454
53394505,13,13113,2019,03,2,2,12164
53394506,13,13113,2019,03,0,0,48660
53394506,13,13113,2019,03,0,1,12373
53394506,13,13113,2019,03,0,2,27113
53394506,13,13113,2019,03,1,0,52859
53394506,13,13113,2019,03,1,1,12133
53394506,13,13113,2019,03,1,2,32370
53394506,13,13113,2019,03,2,0,51369
53394506,13,13113,2019,03,2,1,12219
53394506,13,13113,2019,03,2,2,30504
53393585,13,13113,2019,04,0,0,35224
53393585,13,13113,2019,04,0,1,26528
53393585,13,13113,2019,04,0,2,31346
53393585,13,13113,2019,04,1,0,79963
53393585,13,13113,2019,04,1,1,28370
53393585,13,13113,2019,04,1,2,54165
53393585,13,13113,2019,04,2,0,65050
53393585,13,13113,2019,04,2,1,27756
53393585,13,13113,2019,04,2,2,46559
53393586,13,13113,2019,04,0,0,33887
53393586,13,13113,2019,04,0,1,17170
53393586,13,13113,2019,04,0,2,25525
53393586,13,13113,2019,04,1,0,79262
53393586,13,13113,2019,04,1,1,20222
53393586,13,13113,2019,04,1,2,50289
53393586,13,13113,2019,04,2,0,64137
53393586,13,13113,2019,04,2,1,19205
53393586,13,13113,2019,04,2,2,42035
53393595,13,13113,2019,04,0,0,66972
53393595,13,13113,2019,04,0,1,26213
53393595,13,13113,2019,04,0,2,48331
53393595,13,13113,2019,04,1,0,79348
53393595,13,13113,2019,04,1,1,22330
53393595,13,13113,2019,04,1,2,54695
53393595,13,13113,2019,04,2,0,75223
53393595,13,13113,2019,04,2,1,23624
53393595,13,13113,2019,04,2,2,52574
53393596,13,13113,2019,04,0,0,81337
53393596,13,13113,2019,04,0,1,21752
53393596,13,13113,2019,04,0,2,50036
53393596,13,13113,2019,04,1,0,132145
53393596,13,13113,2019,04,1,1,23825
53393596,13,13113,2019,04,1,2,81095
53393596,13,13113,2019,04,2,0,115209
53393596,13,13113,2019,04,2,1,23134
53393596,13,13113,2019,04,2,2,70742
53394505,13,13113,2019,04,0,0,21250
53394505,13,13113,2019,04,0,1,8321
53394505,13,13113,2019,04,0,2,13194
53394505,13,13113,2019,04,1,0,14377
53394505,13,13113,2019,04,1,1,8421
53394505,13,13113,2019,04,1,2,12062
53394505,13,13113,2019,04,2,0,16668
53394505,13,13113,2019,04,2,1,8388
53394505,13,13113,2019,04,2,2,12439
53394506,13,13113,2019,04,0,0,50273
53394506,13,13113,2019,04,0,1,13315
53394506,13,13113,2019,04,0,2,28350
53394506,13,13113,2019,04,1,0,54057
53394506,13,13113,2019,04,1,1,13373
53394506,13,13113,2019,04,1,2,33419
53394506,13,13113,2019,04,2,0,52796
53394506,13,13113,2019,04,2,1,13353
53394506,13,13113,2019,04,2,2,31729
53393585,13,13113,2019,05,0,0,32173
53393585,13,13113,2019,05,0,1,24087
53393585,13,13113,2019,05,0,2,28816
53393585,13,13113,2019,05,1,0,79310
53393585,13,13113,2019,05,1,1,27186
53393585,13,13113,2019,05,1,2,53318
53393585,13,13113,2019,05,2,0,61063
53393585,13,13113,2019,05,2,1,25987
53393585,13,13113,2019,05,2,2,43833
53393586,13,13113,2019,05,0,0,31916
53393586,13,13113,2019,05,0,1,15925
53393586,13,13113,2019,05,0,2,23693
53393586,13,13113,2019,05,1,0,77931
53393586,13,13113,2019,05,1,1,19395
53393586,13,13113,2019,05,1,2,49390
53393586,13,13113,2019,05,2,0,60119
53393586,13,13113,2019,05,2,1,18052
53393586,13,13113,2019,05,2,2,39443
53393595,13,13113,2019,05,0,0,61486
53393595,13,13113,2019,05,0,1,23427
53393595,13,13113,2019,05,0,2,43572
53393595,13,13113,2019,05,1,0,79459
53393595,13,13113,2019,05,1,1,21723
53393595,13,13113,2019,05,1,2,53941
53393595,13,13113,2019,05,2,0,72502
53393595,13,13113,2019,05,2,1,22382
53393595,13,13113,2019,05,2,2,49927
53393596,13,13113,2019,05,0,0,73888
53393596,13,13113,2019,05,0,1,18882
53393596,13,13113,2019,05,0,2,44721
53393596,13,13113,2019,05,1,0,129548
53393596,13,13113,2019,05,1,1,22340
53393596,13,13113,2019,05,1,2,78932
53393596,13,13113,2019,05,2,0,108002
53393596,13,13113,2019,05,2,1,21002
53393596,13,13113,2019,05,2,2,65689
53394505,13,13113,2019,05,0,0,17646
53394505,13,13113,2019,05,0,1,7037
53394505,13,13113,2019,05,0,2,11199
53394505,13,13113,2019,05,1,0,13636
53394505,13,13113,2019,05,1,1,7526
53394505,13,13113,2019,05,1,2,11257
53394505,13,13113,2019,05,2,0,15188
53394505,13,13113,2019,05,2,1,7337
53394505,13,13113,2019,05,2,2,11235
53394506,13,13113,2019,05,0,0,47958
53394506,13,13113,2019,05,0,1,11747
53394506,13,13113,2019,05,0,2,26265
53394506,13,13113,2019,05,1,0,49507
53394506,13,13113,2019,05,1,1,11651
53394506,13,13113,2019,05,1,2,30575
53394506,13,13113,2019,05,2,0,48908
53394506,13,13113,2019,05,2,1,11688
53394506,13,13113,2019,05,2,2,28907
53393585,13,13113,2019,06,0,0,35806
53393585,13,13113,2019,06,0,1,25034
53393585,13,13113,2019,06,0,2,30662
53393585,13,13113,2019,06,1,0,77883
53393585,13,13113,2019,06,1,1,25746
53393585,13,13113,2019,06,1,2,52081
53393585,13,13113,2019,06,2,0,63858
53393585,13,13113,2019,06,2,1,25508
53393585,13,13113,2019,06,2,2,44941
53393586,13,13113,2019,06,0,0,34507
53393586,13,13113,2019,06,0,1,16592
53393586,13,13113,2019,06,0,2,25278
53393586,13,13113,2019,06,1,0,78154
53393586,13,13113,2019,06,1,1,19618
53393586,13,13113,2019,06,1,2,49459
53393586,13,13113,2019,06,2,0,63605
53393586,13,13113,2019,06,2,1,18610
53393586,13,13113,2019,06,2,2,41398
53393595,13,13113,2019,06,0,0,61561
53393595,13,13113,2019,06,0,1,24953
53393595,13,13113,2019,06,0,2,45058
53393595,13,13113,2019,06,1,0,80693
53393595,13,13113,2019,06,1,1,20921
53393595,13,13113,2019,06,1,2,54201
53393595,13,13113,2019,06,2,0,74315
53393595,13,13113,2019,06,2,1,22265
53393595,13,13113,2019,06,2,2,51153
53393596,13,13113,2019,06,0,0,79145
53393596,13,13113,2019,06,0,1,18833
53393596,13,13113,2019,06,0,2,47102
53393596,13,13113,2019,06,1,0,127618
53393596,13,13113,2019,06,1,1,21654
53393596,13,13113,2019,06,1,2,77490
53393596,13,13113,2019,06,2,0,111460
53393596,13,13113,2019,06,2,1,20713
53393596,13,13113,2019,06,2,2,67360
53394505,13,13113,2019,06,0,0,13438
53394505,13,13113,2019,06,0,1,6538
53394505,13,13113,2019,06,0,2,9688
53394505,13,13113,2019,06,1,0,14172
53394505,13,13113,2019,06,1,1,7388
53394505,13,13113,2019,06,1,2,11336
53394505,13,13113,2019,06,2,0,13927
53394505,13,13113,2019,06,2,1,7104
53394505,13,13113,2019,06,2,2,10787
53394506,13,13113,2019,06,0,0,42377
53394506,13,13113,2019,06,0,1,11195
53394506,13,13113,2019,06,0,2,24349
53394506,13,13113,2019,06,1,0,50141
53394506,13,13113,2019,06,1,1,11669
53394506,13,13113,2019,06,1,2,30633
53394506,13,13113,2019,06,2,0,47553
53394506,13,13113,2019,06,2,1,11511
53394506,13,13113,2019,06,2,2,28539
53393585,13,13113,2019,07,0,0,34673
53393585,13,13113,2019,07,0,1,25106
53393585,13,13113,2019,07,0,2,30010
53393585,13,13113,2019,07,1,0,80135
53393585,13,13113,2019,07,1,1,25657
53393585,13,13113,2019,07,1,2,52888
53393585,13,13113,2019,07,2,0,66937
53393585,13,13113,2019,07,2,1,25497
53393585,13,13113,2019,07,2,2,46246
53393586,13,13113,2019,07,0,0,34966
53393586,13,13113,2019,07,0,1,16713
53393586,13,13113,2019,07,0,2,25415
53393586,13,13113,2019,07,1,0,76293
53393586,13,13113,2019,07,1,1,19815
53393586,13,13113,2019,07,1,2,48691
53393586,13,13113,2019,07,2,0,64295
53393586,13,13113,2019,07,2,1,18914
53393586,13,13113,2019,07,2,2,41934
53393595,13,13113,2019,07,0,0,63278
53393595,13,13113,2019,07,0,1,24795
